commit	avg_naturalness	avg_weighted_issues	status	description	elapsed_min	topics	details_json
d42ecf0	4.00	15.0	baseline	baseline — full pipeline test	8.9	Revisiting Addition: Fact Families	{"per_topic": [{"name": "Revisiting Addition: Fact Families", "score": 4, "issues": 15}]}
d42ecf0	5.00	13.0	pending	iteration 1	8.7	Structured Problem Solving with Addition	{"per_topic": [{"name": "Structured Problem Solving with Addition", "score": 5, "issues": 13}]}
d42ecf0	5.00	15.0	pending	iteration 2	9.8	3-Digit Addition: Regrouping in Two Columns	{"per_topic": [{"name": "3-Digit Addition: Regrouping in Two Columns", "score": 5, "issues": 15}]}
d42ecf0	5.00	15.0	pending	iteration 3	9.8	Revisiting Addition: Fact Families	{"per_topic": [{"name": "Revisiting Addition: Fact Families", "score": 5, "issues": 15}]}
d42ecf0	4.00	13.0	pending	iteration 4	8.4	Revisiting Addition: Fact Families	{"per_topic": [{"name": "Revisiting Addition: Fact Families", "score": 4, "issues": 13}]}
d42ecf0	0.00	99.0	pending	iteration 5	0.1	Reviewing 3-Digit Place Value	{"per_topic": [{"name": "Reviewing 3-Digit Place Value", "score": 0, "issues": 99}]}
d42ecf0	0.00	99.0	pending	fix 1+2: strict false-OK detection + confirmation brevity	0.8	3-Digit Addition: Regrouping in One Column	{"per_topic": [{"name": "3-Digit Addition: Regrouping in One Column", "score": 0, "issues": 99}]}
d42ecf0	6.00	11.0	pending	fix 1+2: strict false-OK detection + confirmation brevity	9.4	4-Digit Addition and Checking Your Answer	{"per_topic": [{"name": "4-Digit Addition and Checking Your Answer", "score": 6, "issues": 11}]}
d42ecf0	6.00	13.0	pending	fix 3: mandatory strategy switch after 2 failures	7.2	3-Digit Addition: Regrouping in One Column	{"per_topic": [{"name": "3-Digit Addition: Regrouping in One Column", "score": 6, "issues": 13}]}
d42ecf0	4.00	15.0	pending	fix 4: prioritize card analogies over study plan framing	12.8	Revisiting Addition: Fact Families	{"per_topic": [{"name": "Revisiting Addition: Fact Families", "score": 4, "issues": 15}]}
d42ecf0	0.00	99.0	pending	fix 5: concrete persona rules for corrections, self-corrections, informal answers	0.1	Reviewing 3-Digit Place Value	{"per_topic": [{"name": "Reviewing 3-Digit Place Value", "score": 0, "issues": 99}]}
d42ecf0	7.00	9.0	pending	fix 5: concrete persona rules for corrections, self-corrections, informal answers	5.5	3-Digit Addition: Regrouping in One Column	{"per_topic": [{"name": "3-Digit Addition: Regrouping in One Column", "score": 7, "issues": 9}]}
d42ecf0	5.00	11.0	pending	all 5 fixes applied — validation run	7.2	4-Digit Addition and Checking Your Answer	{"per_topic": [{"name": "4-Digit Addition and Checking Your Answer", "score": 5, "issues": 11}]}
d42ecf0	6.00	13.0	pending	all 5 fixes — 3 topics x 2 runs averaged	75.9	Structured Problem Solving with Addition|Structured Problem Solving with Addition|4-Digit Addition and Checking Your Answer|4-Digit Addition and Checking Your Answer|3-Digit Addition: Regrouping in Two Columns|3-Digit Addition: Regrouping in Two Columns	{"per_topic": [{"name": "Structured Problem Solving with Addition", "score": 7, "issues": 10}, {"name": "Structured Problem Solving with Addition", "score": 5, "issues": 15}, {"name": "4-Digit Addition and Checking Your Answer", "score": 6, "issues": 13}, {"name": "4-Digit Addition and Checking Your Answer", "score": 0, "issues": 99}, {"name": "3-Digit Addition: Regrouping in Two Columns", "score": 6, "issues": 15}, {"name": "3-Digit Addition: Regrouping in Two Columns", "score": 6, "issues": 12}]}
